Step,HeadX,HeadY,Hunger,Tension,V,DetK
  167,     52.9881305593,      2.8954242376,      0.1302891863,      0.0005854740,      0.1245435538,      1.0000000000
  168,     52.4221871703,      2.9032583176,      0.1310984448,      0.0005865820,      0.2091065514,      1.0000000000
  169,     52.6382880050,      2.9003011034,      0.1316437274,      0.0005876945,      0.1338929394,      1.0000000000
  170,     53.5109851384,      2.8881935839,      0.1319682693,      0.0005888260,      0.2739466778,      1.0000000000
  171,     52.9206749390,      2.8947701612,      0.1327890713,      0.0005899445,      0.2151572040,      1.0000000000
  172,     49.8585204191,      2.9880936121,      0.1344413657,      0.0005909951,      0.7426747451,      1.0000000000
  173,     50.0070858615,      2.9863205403,      0.1350130269,      0.0005920488,      0.1185447951,      1.0000000000
  174,     50.1552389337,      2.9845373073,      0.1355845885,      0.0005931057,      0.1185069844,      1.0000000000
  175,     50.3029943338,      2.9827429874,      0.1361560466,      0.0005941656,      0.1184722023,      1.0000000000
  176,     50.4503715390,      2.9809364662,      0.1367273957,      0.0005952287,      0.1184414565,      1.0000000000
  177,     50.5973964073,      2.9791163399,      0.1372986281,      0.0005962948,      0.1184160958,      1.0000000000
  178,     49.4565566313,      2.9932202309,      0.1382735559,      0.0005973360,      0.3249021004,      1.0000000000
  179,     49.6109150735,      2.9914111570,      0.1388439472,      0.0005983805,      0.1195711880,      1.0000000000
  180,     49.7678417274,      2.9895555905,      0.1394133169,      0.0005994283,      0.1201489852,      1.0000000000
  181,     49.9308314728,      2.9876073553,      0.1399805845,      0.0006004796,      0.1214491669,      1.0000000000
  182,     50.1111199667,      2.9854175747,      0.1405422712,      0.0006015346,      0.1250728578,      1.0000000000
  183,     49.6491461885,      2.9909116665,      0.1413019596,      0.0006025795,      0.1833215916,      1.0000000000
  184,     50.0044501816,      2.9867239985,      0.1418108289,      0.0006036321,      0.1609181987,      1.0000000000
  185,     42.1027236723,      3.0814804695,      0.1448595414,      0.0006045123,      1.7181561832,      1.0000000000
  186,     42.2764193339,      3.0800351579,      0.1454353280,      0.0006053963,      0.1209977044,      1.0000000000
  187,     42.4496620859,      3.0785785903,      0.1460109794,      0.0006062839,      0.1209533018,      1.0000000000
  188,     41.7493982837,      3.0844496155,      0.1467955772,      0.0006071563,      0.2217956619,      1.0000000000
  189,     41.9570598419,      3.0827463377,      0.1473638162,      0.0006080330,      0.1273560782,      1.0000000000
  190,     42.2775278769,      3.0800659835,      0.1479051229,      0.0006089166,      0.1489113572,      1.0000000000
  191,     36.8304997957,      2.9223236730,      0.1498227300,      0.0006096865,      1.1293124673,      1.0000000000
  192,     37.0183782813,      2.9210804051,      0.1504022424,      0.0006104604,      0.1223247243,      1.0000000000
  193,     36.4867775827,      2.9245889470,      0.1511260761,      0.0006112227,      0.1855407240,      1.0000000000
  194,     36.7979168121,      2.9225497825,      0.1516829255,      0.0006119917,      0.1448270147,      1.0000000000
  195,     76.5426119646,      2.6468033779,      0.1444217674,      0.0006135986,      7.3841296043,      1.0000000000
  196,     76.6219397910,      2.6448446008,      0.1449989053,      0.0006152066,      0.1088054526,      1.0000000000
  197,     76.7009752117,      2.6428838053,      0.1455760621,      0.0006168160,      0.1087601120,      1.0000000000
  198,     72.4690560267,      2.7478645640,      0.1483582679,      0.0006183338,      1.2019346542,      1.0000000000
  199,     72.5637451639,      2.7460025794,      0.1489339304,      0.0006198535,      0.1108986199,      1.0000000000
  200,     72.6581036534,      2.7441382079,      0.1495095974,      0.0006213750,      0.1108513315,      1.0000000000
  201,     72.7521325796,      2.7422714540,      0.1500852689,      0.0006228985,      0.1108041662,      1.0000000000
  202,     72.8458330650,      2.7404023212,      0.1506609451,      0.0006244238,      0.1107571338,      1.0000000000
  203,     69.8844315353,      2.7994673111,      0.1526025232,      0.0006258853,      0.8097382065,      1.0000000000
  204,     69.9883646670,      2.7976561851,      0.1531776094,      0.0006273489,      0.1120887140,      1.0000000000
  205,     70.0919685152,      2.7958432392,      0.1537526809,      0.0006288146,      0.1120456046,      1.0000000000
  206,     70.1952449588,      2.7940282665,      0.1543277375,      0.0006302824,      0.1120028251,      1.0000000000
  207,     70.2981966011,      2.7922110792,      0.1549027786,      0.0006317523,      0.1119605461,      1.0000000000
  208,     67.8984152153,      2.8345612720,      0.1565104809,      0.0006331706,      0.6489896417,      1.0000000000
  209,     68.0069653991,      2.8322250048,      0.1570861655,      0.0006345910,      0.1124336051,      1.0000000000
  210,     68.1158013805,      2.8300674316,      0.1576615877,      0.0006360248,      0.1125309881,      1.0000000000
  211,     68.2247571433,      2.8280228522,      0.1582368110,      0.0006374713,      0.1125911578,      1.0000000000
  212,     68.3337271955,      2.8260515424,      0.1588118760,      0.0006389384,      0.1126276653,      1.0000000000
  213,     66.2203910874,      2.8643300399,      0.1602514462,      0.0006403815,      0.5681241836,      1.0000000000
  214,     66.3478226166,      2.8579016871,      0.1608221768,      0.0006418272,      0.1160551479,      1.0000000000
  215,     66.4823208829,      2.8463114680,      0.1613902041,      0.0006432991,      0.1176816399,      1.0000000000
  216,     66.6328271620,      2.8196393038,      0.1619523544,      0.0006448093,      0.1214463664,      1.0000000000
  217,     66.8289747765,      2.7261379388,      0.1624983786,      0.0006463216,      0.1337714365,      1.0000000000
  218,     66.6829346854,      1.5936556577,      0.1631872391,      0.0006478068,      0.2790959830,      1.0000000000
  219,     66.7987937700,      1.5974433302,      0.1637614536,      0.0006492943,      0.1136620136,      1.0000000000
  220,     66.9137678407,      1.6014158359,      0.1643358353,      0.0006507842,      0.1135007829,      1.0000000000
  221,     67.0278590887,      1.6053491633,      0.1649103879,      0.0006522764,      0.1133379737,      1.0000000000
  222,     67.1411424636,      1.6090372229,      0.1654850877,      0.0006537710,      0.1131899439,      1.0000000000
  223,     65.2162929964,      1.5460022591,      0.1668259249,      0.0006552235,      0.5185160499,      1.0000000000
  224,     65.3376319019,      1.5450294794,      0.1673999060,      0.0006566785,      0.1143561955,      1.0000000000
  225,     65.4588313882,      1.5441966322,      0.1679737702,      0.0006581359,      0.1143608920,      1.0000000000
  226,     65.5799442183,      1.5435403148,      0.1685474983,      0.0006595957,      0.1143773375,      1.0000000000
  227,     65.7010407236,      1.5431056262,      0.1691210641,      0.0006610579,      0.1144094866,      1.0000000000
  228,     64.0836210452,      1.5491887157,      0.1703212260,      0.0006624860,      0.4429595567,      1.0000000000
  229,     64.2085060747,      1.5478223872,      0.1708952477,      0.0006639167,      0.1147519502,      1.0000000000
  230,     64.3333965195,      1.5464493241,      0.1714690998,      0.0006653498,      0.1147880471,      1.0000000000
  231,     64.4584358194,      1.5450796247,      0.1720427316,      0.0006667853,      0.1148553992,      1.0000000000
  232,     64.5838563739,      1.5437240244,      0.1726160611,      0.0006682234,      0.1149734325,      1.0000000000
  233,     63.1066045115,      1.5597259959,      0.1737490807,      0.0006696306,      0.4078720194,      1.0000000000
  234,     63.2345895464,      1.5588983222,      0.1743231169,      0.0006710403,      0.1151020261,      1.0000000000
  235,     63.3628087111,      1.5579156842,      0.1748969055,      0.0006724526,      0.1151867137,      1.0000000000
  236,     63.4915401044,      1.5568047602,      0.1754703507,      0.0006738674,      0.1153313429,      1.0000000000
  237,     63.6212650933,      1.5555849461,      0.1760432868,      0.0006752848,      0.1155797359,      1.0000000000
  238,     62.2731028037,      1.5681798533,      0.1771187237,      0.0006766740,      0.3767088197,      1.0000000000
  239,     62.4046542164,      1.5688659463,      0.1776924578,      0.0006780659,      0.1155963734,      1.0000000000
  240,     62.5365272463,      1.5693396319,      0.1782659135,      0.0006794604,      0.1156992569,      1.0000000000
  241,     62.6693280076,      1.5695290038,      0.1788388895,      0.0006808576,      0.1159309410,      1.0000000000
  242,     62.8041743007,      1.5693868858,      0.1794110116,      0.0006822575,      0.1164007872,      1.0000000000
  243,     61.6003065877,      1.5702770212,      0.1804282552,      0.0006836319,      0.3434859082,      1.0000000000
  244,     61.7361591401,      1.5705255603,      0.1810012993,      0.0006850091,      0.1162853397,      1.0000000000
  245,     61.8732094094,      1.5710144470,      0.1815737735,      0.0006863891,      0.1165741228,      1.0000000000
  246,     62.0126744995,      1.5717001083,      0.1821452783,      0.0006877719,      0.1171201674,      1.0000000000
  247,     62.1574828111,      1.5724777116,      0.1827148518,      0.0006891581,      0.1182852270,      1.0000000000
  248,     61.2077447035,      1.5671814600,      0.1836419729,      0.0006905241,      0.2881241353,      1.0000000000
  249,     61.3496529187,      1.5668683860,      0.1842134606,      0.0006918931,      0.1174185535,      1.0000000000
  250,     61.4973256154,      1.5667869504,      0.1847829098,      0.0006932650,      0.1186644283,      1.0000000000
  251,     61.6596417178,      1.5671074728,      0.1853474464,      0.0006946403,      0.1217766681,      1.0000000000
  252,     61.8789345689,      1.5685443544,      0.1858933553,      0.0006960201,      0.1337901849,      1.0000000000
  253,     63.0709608602,      1.5998263289,      0.1861231170,      0.0006974255,      0.3386007096,      1.0000000000
  254,     63.1870869038,      1.5899348765,      0.1867008907,      0.0006988329,      0.1125257229,      1.0000000000
  255,     63.4093505320,      1.5744903665,      0.1872429233,      0.0007002447,      0.1351862649,      1.0000000000
  256,     68.1333053333,      0.5821494004,      0.1862717883,      0.0007017343,      1.1085650259,      1.0000000000
  257,     68.2430605151,      0.5819204560,      0.1868462077,      0.0007032260,      0.1125484452,      1.0000000000
  258,     66.1684273770,      0.5860813886,      0.1882594719,      0.0007046741,      0.5563540499,      1.0000000000
  259,     66.2855838672,      0.5886810530,      0.1888334741,      0.0007061245,      0.1135554551,      1.0000000000
  260,     66.4026403904,      0.5911335178,      0.1894073538,      0.0007075774,      0.1135666782,      1.0000000000
  261,     66.5196221550,      0.5935662746,      0.1899811010,      0.0007090327,      0.1135840583,      1.0000000000
  262,     66.6365177415,      0.5960959441,      0.1905547192,      0.0007104904,      0.1135994919,      1.0000000000
  263,     64.8680397352,      0.5580073261,      0.1918198340,      0.0007119099,      0.4790455885,      1.0000000000
